Page,Route,User Action,UI Element,Handler Function,Network Call,Database Table,Database Operation,RLS Policy,Telemetry Event,Navigation Target,Status
AuthPage,/app/auth,Enter email and password,Form inputs,AuthPage.handleSubmit(),supabase.auth.signUp(),auth.users,INSERT,none_required,auth_signup_started,/app/auth/verify,Complete
AuthPage,/app/auth,Click Sign Up button,Submit button,AuthPage.handleSubmit(),supabase.auth.signUp(),auth.users,INSERT,none_required,auth_signup_succeeded,/app/auth/verify,Complete
AuthPage,/app/auth,Click Sign In button,Submit button,AuthPage.handleSubmit(),supabase.auth.signInWithPassword(),auth.users,SELECT,none_required,auth_signin_started,/app,Complete
AuthPage,/app/auth,Click Forgot Password,Link,Navigation,None,None,None,None,None,/app/auth/reset-password,Complete
VerifyPage,/app/auth/verify,Enter OTP digits,OTP inputs,VerifyPage.handleVerify(),supabase.auth.verifyOtp(),auth.users,UPDATE,none_required,auth_verify_started,/app/onboarding/biometrics,Complete
VerifyPage,/app/auth/verify,Click Resend Code,Button,VerifyPage.handleResend(),supabase.auth.resend(),auth.users,None,none_required,auth_resend_started,None,Complete
VerifyPage,/app/auth/verify,Auto-submit on complete,Auto trigger,VerifyPage.handleVerify(),supabase.auth.verifyOtp(),auth.users,UPDATE,none_required,auth_verify_succeeded,/app/onboarding/biometrics,Complete
ResetPasswordPage,/app/auth/reset-password,Enter email,Form input,ResetPasswordPage.handleRequestReset(),supabase.auth.resetPasswordForEmail(),auth.users,None,none_required,password_reset_requested,None,Complete
ResetPasswordPage,/app/auth/reset-password,Click Send Reset Email,Button,ResetPasswordPage.handleRequestReset(),supabase.auth.resetPasswordForEmail(),auth.users,None,none_required,password_reset_succeeded,None,Complete
ResetPasswordPage,/app/auth/reset-password,Enter new password,Form inputs,ResetPasswordPage.handleUpdatePassword(),supabase.auth.updateUser(),auth.users,UPDATE,none_required,password_update_succeeded,/app/auth,Complete
ResetPasswordPage,/app/auth/reset-password,Click Update Password,Button,ResetPasswordPage.handleUpdatePassword(),supabase.auth.updateUser(),auth.users,UPDATE,none_required,password_update_succeeded,/app/auth,Complete
BiometricsPage,/app/onboarding/biometrics,Enter first name,Form input,Form state update,None,onboarding_state (IndexedDB),None,None,None,None,Complete
BiometricsPage,/app/onboarding/biometrics,Enter last name,Form input,Form state update,None,onboarding_state (IndexedDB),None,None,None,None,Complete
BiometricsPage,/app/onboarding/biometrics,Enter date of birth,Date picker,Form state update,None,onboarding_state (IndexedDB),None,None,None,None,Complete
